StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,
Nt,ri,wt,tf,bt,cf,hs,wbi,turns,angle,torque,Nm,rsh,rr,wm,dm,mf,angle,torque,
6,30,10,0.8,10,0.7,10,10,100,1.0,2.200066465187482,4,6,26,7,6,0.5,123.0,-2.200066464974439,
6,30,10,0.8,10,0.7,10,10,100,1.0,2.124000937874821,4,6,26,7,6,0.5,126.0,-2.124000937705753,
6,30,10,0.8,10,0.7,10,10,100,1.0,2.146805698637339,4,6,26,7,6,0.5,129.0,-2.146805698618826,
6,30,10,0.8,10,0.7,10,10,100,1.0,2.06906500683256,4,6,26,7,6,0.5,132.0,-2.069065006741174,
6,30,10,0.8,10,0.7,10,10,100,1.0,1.814914262179727,4,6,26,7,6,0.5,135.0,-1.814914262091444,
6,30,10,0.8,10,0.7,10,10,100,1.0,1.370860174059907,4,6,26,7,6,0.5,138.0,-1.37086017406051,
6,30,10,0.8,10,0.7,10,10,100,1.0,0.9922644009105754,4,6,26,7,6,0.5,141.0,-0.9922644007712679,
6,30,10,0.8,10,0.7,10,10,100,1.0,0.6830813877735676,4,6,26,7,6,0.5,144.0,-0.6830813877785196,
6,30,10,0.8,10,0.7,10,10,100,1.0,0.4048695832138153,4,6,26,7,6,0.5,147.0,-0.4048695832082798,
6,30,10,0.8,10,0.7,10,10,100,1.0,0.1100997083059013,4,6,26,7,6,0.5,150.0,-0.1100997082721313,
6,30,10,0.8,10,0.7,10,10,100,1.0,-0.1953880838374989,4,6,26,7,6,0.5,153.0,0.1953880838999481,
6,30,10,0.8,10,0.7,10,10,100,1.0,-0.4945689397330549,4,6,26,7,6,0.5,156.0,0.4945689397775258,
6,30,10,0.8,10,0.7,10,10,100,1.0,-0.7717927927961264,4,6,26,7,6,0.5,159.0,0.7717927928071856,
6,30,10,0.8,10,0.7,10,10,100,1.0,-1.100003137606963,4,6,26,7,6,0.5,162.0,1.100003137735606,
6,30,10,0.8,10,0.7,10,10,100,1.0,-1.524185465034365,4,6,26,7,6,0.5,165.0,1.524185465046676,
6,30,10,0.8,10,0.7,10,10,100,1.0,-1.920611198904968,4,6,26,7,6,0.5,168.0,1.920611198889083,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.115490049398222,4,6,26,7,6,0.5,171.0,2.115490049567377,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.118091530602102,4,6,26,7,6,0.5,174.0,2.118091530668304,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.138831829556814,4,6,26,7,6,0.5,177.0,2.138831829579297,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.227192946651436,4,6,26,7,6,0.5,180.0,2.227192946849726,
