StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM
Nt,ri,wt,tf,bt,cf,hs,wbi,turns,angle,torque,Nm,rsh,rr,wm,dm,mf,angle,Torque: 0.5,Torque: 0.6,Torque: 0.7
6,30,10,0.5,10,0.7,10,10,100,0,-0.1045967897,4,6,26,7,6,0.5,126,0.1045967896,-0.0499919722,-0.1167128912
6,30,10,0.5,10,0.7,10,10,100,0,-0.2427642392,4,6,26,7,6,0.5,129,0.2427642394,0.0308599115,-0.1293188284
6,30,10,0.5,10,0.7,10,10,100,0,-0.2040567391,4,6,26,7,6,0.5,132,0.2040567391,0.0697066049,-0.0833731438
6,30,10,0.5,10,0.7,10,10,100,0,-0.0265924535,4,6,26,7,6,0.5,135,0.0265924536,0.0073574275,0.0049798619
6,30,10,0.5,10,0.7,10,10,100,0,0.1749527716,4,6,26,7,6,0.5,138,-0.1749527717,-0.0501467149,0.0920968327
6,30,10,0.5,10,0.7,10,10,100,0,0.2473912634,4,6,26,7,6,0.5,141,-0.2473912634,-0.0143554826,0.1180438551
6,30,10,0.5,10,0.7,10,10,100,0,0.1430782163,4,6,26,7,6,0.5,144,-0.1430782161,0.0591668844,0.1187033212
6,30,10,0.5,10,0.7,10,10,100,0,0.0479530121,4,6,26,7,6,0.5,147,-0.047953012,0.0581019397,0.0564654167
6,30,10,0.5,10,0.7,10,10,100,0,-0.0040046034,4,6,26,7,6,0.5,150,0.0040046038,-0.0061720318,-0.0135318738
6,30,10,0.5,10,0.7,10,10,100,0,-0.0303920776,4,6,26,7,6,0.5,153,0.030392078,-0.030463815,-0.011229395
6,30,10,0.5,10,0.7,10,10,100,0,-0.1402312879,4,6,26,7,6,0.5,156,0.140231288,-0.0515417478,-0.0861496021
6,30,10,0.5,10,0.7,10,10,100,0,-0.246033286,4,6,26,7,6,0.5,159,0.2460332863,0.0108125926,-0.1125769803
6,30,10,0.5,10,0.7,10,10,100,0,-0.1835953217,4,6,26,7,6,0.5,162,0.1835953216,0.0645270057,-0.101489434
6,30,10,0.5,10,0.7,10,10,100,0,-0.0106674793,4,6,26,7,6,0.5,165,0.0106674794,-0.0204225027,0.0200551352
