StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,
Nt,ri,wt,tf,bt,cf,hs,wbi,turns,angle,torque,Nm,rsh,rr,wm,dm,mf,angle,torque,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.227157229620536,4,6,26,7,6,0.5,0.0,2.22715722981192,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.279042649121474,4,6,26,7,6,0.5,1.0,2.279042649232027,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.315114613096994,4,6,26,7,6,0.5,2.0,2.315114613227467,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.380667416569214,4,6,26,7,6,0.5,3.0,2.380667416708388,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.426150783498417,4,6,26,7,6,0.5,4.0,2.426150783660366,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.479809723325212,4,6,26,7,6,0.5,5.0,2.479809723526945,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.514866797070051,4,6,26,7,6,0.5,6.0,2.514866797135811,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.559615068746862,4,6,26,7,6,0.5,7.0,2.559615068809026,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.583075168594009,4,6,26,7,6,0.5,8.0,2.583075168667715,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.661704802274445,4,6,26,7,6,0.5,9.0,2.661704802466872,
6,30,10,0.8,10,0.7,10,10,100,1.0,-2.71381254246568,4,6,26,7,6,0.5,10.0,2.713812542778633,
